label_plantvillage,cultivo,tipo,patogeno,problema,identificacion,tratamiento,prevencion,fuente
Corn___healthy,maíz,sano,,sin enfermedad detectada,"hojas verdes, erectas, sin lesiones, pústulas ni manchas visibles.",no se requiere tratamiento; continúa el monitoreo periódico durante el ciclo del cultivo.,"mantén rotación de cultivos y buen manejo de rastrojos, y prioriza híbridos con buen paquete de resistencia genética.","Síntesis de las fuentes de manejo de roya, tizón foliar del norte y mancha gris citadas en esta base de conocimiento."
Grape___Black_rot,vid,hongo,Guignardia bidwellii,podredumbre negra (black rot),"manchas circulares marrón-rojizas en hojas con pequeños puntos negros (pycnidios) en el centro; los frutos afectados se oscurecen, cubren de pycnidios y se momifican.","el manejo se enfoca en proteger los racimos: una aplicación pre-floración y una o dos post-floración de fungicida suelen ser suficientes; si hubo problemas el año anterior, se recomienda una segunda aplicación post-floración.","elimina los racimos momificados que quedan colgando en la planta y en el suelo del viñedo, ya que son la principal fuente de inóculo para la temporada siguiente.","MSU Extension, 'Managing black rot on grapes', https://www.canr.msu.edu/news/managing_black_rot_on_grapes ; Penn State Extension, 'Grape Disease - Black Rot', https://extension.psu.edu/grape-disease-black-rot"
Grape___Esca_(Black_Measles),vid,hongo,Phaeomoniella chlamydospora y Phaeoacremonium spp.,esca o sarampión negro (black measles),patrón de 'rayas de tigre' en las hojas (bandas necróticas entre las venas rodeadas de zonas cloróticas); en frutos pueden aparecer manchas superficiales entre el cuajado y antes de cosecha.,no existe cura química eficaz una vez establecida en la madera de la planta; el manejo se centra en prácticas culturales (poda sanitaria de la madera afectada) más que en fungicidas foliares.,evita heridas de poda grandes e innecesarias (puertas de entrada del hongo a la madera) y considera técnicas de poda que reduzcan el riesgo de infección en climas templados y húmedos.,"Florida A&M University CAFS, 'Post-Harvest Vineyard Management', https://cafs.famu.edu/departments-and-centers/research/center-for-viticulture-and-small-fruit-research/pdf/Post-Harvest-Vineyard-Management-fact-sheet.pdf"
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),vid,hongo,Pseudocercospora vitis (antes Isariopsis),tizón foliar (mancha de Isariopsis),"manchas foliares irregulares, generalmente de tono oscuro, que pueden coalescer y causar defoliación prematura en infecciones severas.",los mismos programas fungicidas usados para podredumbre negra en la vid suelen ofrecer control cruzado; consulta con un agrónomo local sobre productos registrados en tu región.,mejora la ventilación del dosel mediante manejo de canopia y evita el exceso de humedad foliar prolongada.,"Florida A&M University CAFS, 'Post-Harvest Vineyard Management', https://cafs.famu.edu/departments-and-centers/research/center-for-viticulture-and-small-fruit-research/pdf/Post-Harvest-Vineyard-Management-fact-sheet.pdf"
Grape___healthy,vid,sano,,sin enfermedad detectada,"hojas y racimos sin manchas, momificación ni patrones de rayado necrótico.",no se requiere tratamiento; continúa el monitoreo regular del viñedo.,mantén buen manejo de canopia (ventilación) y elimina restos de racimos y madera enferma tras la poda.,"Síntesis de las fuentes de manejo de podredumbre negra, esca y tizón foliar citadas en esta base de conocimiento."
Orange___Haunglongbing_(Citrus_greening),naranjo (cítricos),bacteria,"Candidatus Liberibacter spp., transmitida por el psílido asiático de los cítricos (Diaphorina citri)",Huanglongbing (HLB) o enverdecimiento de los cítricos,"moteado amarillo asimétrico en las hojas (distinto de una deficiencia nutricional, que suele ser simétrico), brotes amarillos, y frutos pequeños, deformes y de sabor amargo.",no existe cura para árboles ya infectados; el manejo se enfoca en erradicar árboles infectados para reducir la fuente de inóculo y en controlar al vector (psílido asiático) con insecticidas sistémicos.,"planta material certificado libre de HLB, controla activamente el psílido vector, y evita mover material vegetal de zonas afectadas a zonas libres de la enfermedad (cuarentena).","UF/IFAS Extension, 'Ask IFAS: Citrus Greening (Huanglongbing, HLB)', https://ask.ifas.ufl.edu/topics/citrus-greening ; UC Riverside CISR, 'Huanglongbing (HLB or Citrus Greening)', https://cisr.ucr.edu/invasive-species/huanglongbing-hlb-or-citrus-greening"
Peach___Bacterial_spot,duraznero (melocotonero),bacteria,Xanthomonas campestris pv. pruni (también citada como X. arboricola pv. pruni),mancha bacteriana,"lesiones oscuras y pequeñas en el ápice de la hoja (donde se acumula agua de rocío/lluvia), y en fruto: picaduras, agrietamiento y tejido acuoso.","remueve durante la poda de primavera el tejido con gomosis/cancros, que es donde el patógeno sobrevive el invierno; en cultivo comercial se recurre a programas de cobre, aunque el control completo es difícil en condiciones favorables a la enfermedad.",los frutos son más susceptibles justo después de la caída del cáliz y antes del endurecimiento del hueso (a mediados/fines de junio en el hemisferio norte); prioriza variedades con algo de tolerancia si están disponibles.,"MSU Extension, 'Management of bacterial spot on peach and nectarines', https://www.canr.msu.edu/news/management_of_bacterial_spot_on_peach_and_nectarines"
Peach___healthy,duraznero (melocotonero),sano,,sin enfermedad detectada,"hojas y frutos sin lesiones, picaduras ni tejido acuoso.",no se requiere tratamiento; continúa el monitoreo regular.,"elimina en la poda de primavera cualquier tejido con gomosis, ya que ahí puede sobrevivir el patógeno de la mancha bacteriana.",Síntesis de la fuente de manejo de mancha bacteriana en duraznero citada en esta base de conocimiento.
Pepper_bell___Bacterial_spot,pimentón (pimiento morrón),bacteria,"Xanthomonas spp. (X. vesicatoria, X. euvesicatoria, X. gardneri, X. perforans)",mancha bacteriana,"manchas pequeñas (menos de 1/8 pulgada), marrones y circulares en hojas, sin halo amarillo; en fruto, escaras marrones ligeramente elevadas, a menudo en el extremo del pedúnculo.",aplica bactericida a base de cobre cada 10-14 días para frenar la propagación; retira y desecha el tejido muy afectado.,"usa semilla y trasplantes certificados libres del patógeno (la bacteria puede transmitirse por semilla), evita el riego por aspersión y rota cultivos al menos 3 años sin sembrar solanáceas (tomate, papa, berenjena) en el mismo lote.","UMN Extension, 'Bacterial spot of tomato and pepper', https://extension.umn.edu/disease-management/bacterial-spot-tomato-and-pepper ; UConn IPM, 'Managing Bacterial Leaf Spot', https://ipm.cahnr.uconn.edu/managing-bacterial-leaf-spot/"
Pepper_bell___healthy,pimentón (pimiento morrón),sano,,sin enfermedad detectada,hojas y frutos sin manchas ni escaras.,no se requiere tratamiento; continúa el monitoreo regular.,usa semilla certificada y evita rotar con otras solanáceas para reducir el riesgo de mancha bacteriana.,Síntesis de la fuente de manejo de mancha bacteriana en pimentón citada en esta base de conocimiento.
Potato___Early_blight,papa,hongo,Alternaria solani,tizón temprano,"lesiones marrón oscuro con anillos concéntricos en hojas y tallos, típicamente empezando en el follaje más viejo; en ataques severos hay defoliación y también puede afectar tubérculos con manchas hundidas.",aplica fungicidas protectantes de forma preventiva; muchos programas de extensión usan modelos de predicción por acumulación de 'P-Days' (grados-día) para decidir el momento óptimo de la primera aspersión.,"usa semilla libre del patógeno, selecciona variedades con algo de resistencia, y destruye rápidamente los residuos de cosecha.","University of Kentucky, 'Scouting Guides for Problems of Vegetables - Early Blight of Potato', https://veggiescout.mgcafe.uky.edu/node/175 ; UW-Madison Vegetable Pathology, actualizaciones de manejo de tizón temprano, https://vegpath.plantpath.wisc.edu/"
Potato___Late_blight,papa,oomiceto,Phytophthora infestans,tizón tardío,"lesiones de aspecto acuoso que se oscurecen rápidamente, con un moho blanco visible en el envés de la hoja bajo condiciones de alta humedad; es la enfermedad más agresiva y de más rápida expansión del cultivo, capaz de destruirlo en pocos días.",es una emergencia fitosanitaria: aplica fungicida sistémico específico de inmediato ante los primeros síntomas y elimina plantas muy afectadas; en cultivo comercial se usan valores de severidad de enfermedad (DSV) para decidir el calendario de aspersión.,"usa semilla certificada libre del patógeno, evita el riego por aspersión (favorece humedad foliar) y monitorea condiciones climáticas húmedas y frescas, que son las que más favorecen al patógeno.","UW-Madison Vegetable Pathology, actualizaciones de manejo de tizón tardío, https://vegpath.plantpath.wisc.edu/tag/late-blight-fungicides ; Cornell University (M. T. McGrath), 'Late Blight Occurrence and Management in Potatoes and Tomatoes in the Northeastern United States', https://portage.extension.wisc.edu/files/2010/05/LateBlightOccurrenceandMGT2009McGrath.pdf"
Potato___healthy,papa,sano,,sin enfermedad detectada,"follaje verde y vigoroso, sin manchas, deformaciones ni moho visible.","no se requiere tratamiento; continúa el monitoreo regular, ideal semanalmente durante temporadas húmedas.","usa semilla certificada, rota cultivos y evita encharcamientos en el lote.",Síntesis de las fuentes de manejo de tizón temprano y tardío en papa citadas en esta base de conocimiento.
Raspberry___healthy,frambueso,sano,,sin enfermedad detectada,"follaje verde, sin manchas ni cancros visibles en cañas.",no se requiere tratamiento; continúa el monitoreo regular.,elimina cañas viejas o enfermas tras la fructificación y mantén buena ventilación entre plantas.,Buenas prácticas generales de manejo fitosanitario de frambueso.
Soybean___healthy,soya,sano,,sin enfermedad detectada,"follaje verde uniforme, sin manchas ni deformaciones.",no se requiere tratamiento; continúa el monitoreo regular durante el ciclo del cultivo.,mantén rotación de cultivos y utiliza variedades con buen paquete de resistencia genética disponible en tu zona.,Buenas prácticas generales de manejo fitosanitario de soya.
Squash___Powdery_mildew,calabaza (zapallo),hongo,Erysiphe cichoracearum / Podosphaera xanthii,oídio o mildiú polvoso,"manchas polvosas de color blanco en la superficie de las hojas, que pueden extenderse hasta cubrirlas por completo; el follaje afectado se debilita y puede morir prematuramente.","aplica fungicidas específicos para oídio (azufre, o productos sistémicos según disponibilidad local) apenas se detecten las primeras manchas polvosas.","mejora el espaciamiento entre plantas para ventilación, ya que el hongo se dispersa fácilmente por aire y prospera con follaje denso.","Utah State University Extension, 'Powdery Mildew on Vegetables', https://extension.usu.edu/planthealth/ipm/notes_ag/veg-powdery-mildew"
Strawberry___Leaf_scorch,fresa (frutilla),hongo,Diplocarpon earlianum,quemazón de la hoja (leaf scorch),"manchas rojo-púrpura de 1-5 mm en el haz de la hoja que, a diferencia de otras manchas foliares de la fresa, no cambian de color en el centro; en infecciones severas grandes áreas de la hoja se vuelven rojas o amarillas y luego marrones, con los bordes curvándose hacia arriba (aspecto 'quemado').","si persisten condiciones húmedas, aplica fungicida a intervalos de 2 semanas, siempre combinado con las prácticas culturales de prevención (el fungicida solo no es tan efectivo).","retira el follaje viejo tras la cosecha, mejora la ventilación entre plantas y prioriza variedades con tolerancia conocida a esta enfermedad.","UC IPM (University of California), 'Leaf Scorch of Strawberries', https://ipm.ucanr.edu/home-and-landscape/leaf-scorch-of-strawberries/ ; UMass Extension, 'Small Fruit IPM Fact Sheet SB-003', https://www.umass.edu/agriculture-food-environment/sites/ag.umass.edu/files/fact-sheets/pdf/strawberry_foliar_disease_fact_sheet_sb-003_0.pdf"
Strawberry___healthy,fresa (frutilla),sano,,sin enfermedad detectada,"hojas verdes, sin manchas rojo-púrpura ni bordes curvados.",no se requiere tratamiento; continúa el monitoreo regular.,retira follaje viejo tras la cosecha y mantén buena ventilación entre plantas.,Síntesis de la fuente de manejo de quemazón de la hoja en fresa citada en esta base de conocimiento.
Tomato___Bacterial_spot,tomate,bacteria,"Xanthomonas spp. (X. vesicatoria, X. euvesicatoria, X. gardneri, X. perforans)",mancha bacteriana,"manchas pequeñas y oscuras en hojas cuyo centro suele caerse dejando pequeños agujeros (a diferencia del tizón temprano, no tienen anillos concéntricos); en fruto, escaras marrones de aspecto ligeramente elevado con un halo blanco ceroso.",aplica bactericida a base de cobre cada 10-14 días; retira el tejido muy afectado y evita mojar el follaje al regar.,"usa semilla y trasplantes certificados, y rota cultivos evitando otras solanáceas (papa, pimentón, berenjena) por al menos 3 años.","UMN Extension, 'Bacterial spot of tomato and pepper', https://extension.umn.edu/disease-management/bacterial-spot-tomato-and-pepper"
Tomato___Early_blight,tomate,hongo,Alternaria solani,tizón temprano,"manchas circulares marrón oscuro con anillos concéntricos característicos ('diana'), que aparecen primero en las hojas bajas y más viejas.",elimina las hojas inferiores afectadas y aplica fungicida protectante apenas aparezcan los primeros síntomas; los modelos de acumulación de grados-día ('P-Days') ayudan a definir el momento óptimo de aspersión.,"mejora el espaciamiento entre plantas para favorecer la ventilación, usa acolchado para reducir salpique de tierra contaminada, y rota cultivos.","UW-Madison Vegetable Pathology, manejo de tizón temprano en tomate, https://vegpath.plantpath.wisc.edu/ ; University of Kentucky, 'Early Blight of Potato' (biología equivalente en tomate), https://veggiescout.mgcafe.uky.edu/node/175"
Tomato___Late_blight,tomate,oomiceto,Phytophthora infestans,tizón tardío,"lesiones grandes de aspecto acuoso que se oscurecen rápidamente hasta marrón-negruzco, con un moho blanquecino visible en el envés bajo alta humedad; es la enfermedad más agresiva del tomate, capaz de destruir un cultivo en pocos días.","actúa de inmediato: elimina las plantas muy afectadas y aplica fungicida sistémico específico para Phytophthora; en brotes fuertes, consulta con un agrónomo local.","evita el riego por aspersión, monitorea pronósticos de clima húmedo y fresco (condición favorable al patógeno), y evita sembrar cerca de cultivos de papa, que comparten el mismo patógeno.","UW-Madison Vegetable Pathology, https://vegpath.plantpath.wisc.edu/tag/late-blight-fungicides ; Cornell University (M. T. McGrath), 'Late Blight Occurrence and Management in Potatoes and Tomatoes in the Northeastern United States'"
Tomato___Leaf_Mold,tomate,hongo,Passalora fulva (antes Cladosporium fulvum),moho de la hoja,"manchas amarillas difusas en el haz de la hoja, con un moho de color oliva a gris aterciopelado en el envés; es especialmente frecuente en tomate bajo invernadero o cultivo protegido con alta humedad.",reduce la humedad relativa dentro del invernadero o del cultivo (ventilación) y retira las hojas muy afectadas; aplica fungicida si persiste tras mejorar la ventilación.,"ventila bien si es cultivo bajo cubierta, evita el exceso de riego por aspersión, y usa variedades con resistencia genética si están disponibles.",Práctica agronómica estándar de manejo de moho de la hoja en tomate protegido; contrastado con la biología general de enfermedades foliares fúngicas de tomate descrita en las fuentes de UW-Madison Vegetable Pathology.
Tomato___Septoria_leaf_spot,tomate,hongo,Septoria lycopersici,mancha foliar por Septoria,"manchas pequeñas y circulares, numerosas, con centro grisáceo y borde oscuro, que aparecen primero en las hojas bajas.",elimina el follaje inferior infectado apenas lo detectes y aplica fungicida protectante si la presión de la enfermedad es alta.,"evita mojar el follaje al regar (el hongo se dispersa por salpique de agua) y rota cultivos, ya que sobrevive en residuos de cosecha.","UW-Madison Vegetable Pathology, 'Tomato Septoria Leaf Spot', https://vegpath.plantpath.wisc.edu/"
Tomato___Spider_mites Two-spotted_spider_mite,tomate,plaga (ácaro),Tetranychus urticae (araña roja o ácaro de dos manchas),infestación por ácaros/araña roja,punteado fino amarillo o blanco (estipulado) en las hojas que puede confluir en manchas amarillas más grandes; el envés puede verse 'sucio' por telarañas finas; se ven a simple vista o con lupa de mano en el envés de la hoja.,"usa un acaricida específico si la infestación es alta; ten cuidado, porque plantas muy dañadas por ácaros pueden lesionarse más con aplicaciones de jabones o aceites en clima muy caluroso.","monitorea regularmente el envés de las hojas, sobre todo en épocas cálidas y secas, condición que favorece a este ácaro; evita el estrés hídrico de las plantas.","University of Maryland Extension, 'Key to Common Problems of Tomatoes', https://extension.umd.edu/resource/key-common-problems-tomatoes"
Tomato___Target_Spot,tomate,hongo,Corynespora cassiicola,mancha en diana (target spot),"manchas circulares a irregulares en la hoja, con borde marrón oscuro y centro de tono más claro ('en diana'); puede afectar también tallo y fruto.",aplica fungicida protectante ante los primeros síntomas y elimina el tejido muy afectado; en climas cálidos y húmedos la enfermedad puede progresar rápido.,"mejora la ventilación del cultivo, evita el exceso de humedad foliar prolongada y rota cultivos.","UF/IFAS Extension, 'Leaf Spot Diseases of Strawberry' (descripción de Corynespora cassiicola, patógeno compartido entre varios cultivos), https://ask.ifas.ufl.edu/publication/PP359"
Tomato___Tomato_Yellow_Leaf_Curl_Virus,tomate,virus,"Tomato yellow leaf curl virus (TYLCV), transmitido por la mosca blanca (Bemisia tabaci)",virus del enrollamiento amarillo de la hoja,"hojas pequeñas, enrolladas hacia arriba, con moteado amarillo, y enanismo general de la planta; los síntomas suelen ser más severos cuanto más temprano ocurre la infección.","no hay cura para plantas ya infectadas; retíralas del lote lo antes posible para reducir la fuente de infección, y controla activamente la mosca blanca vectora con trampas amarillas o insecticida específico.","usa mallas anti-insectos en semillero, controla malezas hospederas de mosca blanca, prefiere variedades con resistencia genética a TYLCV si están disponibles, y practica buena sanitación de residuos de cosecha (la mosca blanca se alimenta de residuos infectados y transmite el virus a plantas nuevas).","UMN Extension, 'Tomato viruses', https://extension.umn.edu/disease-management/tomato-viruses"
Tomato___Tomato_mosaic_virus,tomate,virus,"Tomato mosaic virus (ToMV), o el relacionado Tobacco mosaic virus (TMV)",virus del mosaico del tomate,"mosaico de verde claro y oscuro en las hojas, que pueden verse rizadas, deformadas o reducidas de tamaño; los frutos pueden madurar de forma desigual y presentar manchas internas.","no existe cura: al ser virus, el manejo se centra exclusivamente en prevenir la propagación, no en tratar plantas ya infectadas.","usa semilla certificada libre de virus (ToMV/TMV se transmiten fácilmente por semilla y por contacto mecánico, incluso en manos y herramientas), desinfecta herramientas entre plantas, y evita fumar/manipular tabaco cerca del cultivo (el TMV puede sobrevivir en productos de tabaco).","UMN Extension, 'Tomato viruses', https://extension.umn.edu/disease-management/tomato-viruses"
Tomato___healthy,tomate,sano,,sin enfermedad detectada,"follaje de color verde uniforme, sin manchas, moho, mosaico ni signos de plagas.",no se requiere tratamiento; mantén el monitoreo semanal del cultivo y sigue tu plan normal de riego y fertilización.,"sostén rotación de cultivos, riego en la base (no en el follaje), semilla certificada y monitoreo regular del envés de las hojas.",Síntesis de las fuentes de manejo de las enfermedades de tomate citadas en esta base de conocimiento.
